case_id,change_id,reference_change,triple_detection,ontology_detection,confirmation,notes
P1,P1-C01,"B adds a condition: if requested event time is outside normal building hours, approval is required.",missed,missed,confirmed,Trigger condition not represented.
P1,P1-C02,"B adds a condition: if expected attendance is greater than room capacity, approval is required.",missed,missed,confirmed,Trigger condition not represented.
P1,P1-C03,B adds Department Coordinator as approval/routing actor.,detected,partial,confirmed,Actor appears in graph; ontology is incomplete.
P1,P1-C04,B routes the room reservation request to the Department Coordinator before confirmation when approval is needed.,detected,partial,confirmed,"Routing appears, but approval condition is incomplete."
P1,P1-C05,B changes confirmation condition: email confirmation is sent only after room availability and required approval are granted.,partial,partial,confirmed,Updated after second-evaluator review: approval-granted precondition appears in ontology; room-available conjunct remains incomplete.
P1,P1-C06,"A and B retain required fields: event title, requested room, expected attendees, and event start/end time.",detected,partial,confirmed,Core fields appear; ontology is incomplete.
P2,P2-C01,A assigns ticket to an available support technician; B routes security-related tickets to the security team instead of direct technician assignment.,partial,partial,confirmed,Triple graph has System->Security Team route but lacks explicit ticket-as-object and lacks technician node in B; ontology lacks direct ticket-technician connection and does not fully express instead-of assignment.
P2,P2-C02,"B adds security trigger conditions: account access, suspicious email, possible data exposure.",partial,partial,confirmed,"Updated after second-evaluator review: trigger conditions appear in edge evidence, but not as explicit condition nodes."
P2,P2-C03,B adds Security Review Record and requires the system to store both ticket history and security review record.,detected,detected,confirmed,B triple graph includes Security Review Record and System->store->Security Review Record.
P2,P2-C04,B changes notification timing: notify employee only after security team completes review or transfers ticket back to general support.,partial,missed,confirmed,Updated after additional evaluator review: the ontology exposes notification vocabulary but does not surface the version-level timing/precondition change (review complete or transfer back before notification).
P2,P2-C05,A's resolved-by-technician workflow is replaced by a security-review workflow for marked tickets.,partial,partial,confirmed,"Triple comparison shows removal of assignment and addition of security team/review concepts, but does not fully model replacement logic."
P2,P2-C06,"A/B retain core ticket inputs: problem description, device type, optional screenshots.",detected,partial,confirmed,Triple graph captures included fields. Ontology representation is less direct/clean.
P3,P3-C01,Immediate post-submission charging in A is replaced by creating a pending order record and reserving selected products while inventory availability is checked in B.,partial,partial,confirmed,"Triple comparison shows Pending Order Record, reserve Product, and Inventory Availability added, but temporal 'while/before payment' is not explicit."
P3,P3-C02,Payment timing changes: B charges the saved payment method only after all selected products are confirmed to be available.,missed,partial,confirmed,Both A and B contain System-charge-Saved Payment Method; the only-after availability precondition is not represented as a graph relation.
P3,P3-C03,B adds a pending order record instead of the completed/final order record created in A.,detected,partial,confirmed,B has Pending Order Record; A has Order Record.
P3,P3-C04,B adds inventory availability checking and product reservation before payment finalization.,partial,partial,confirmed,B has System-reserve-Product and System-check-Inventory Availability; ordering is not fully represented.
P3,P3-C05,"B adds an exception path: if one or more products are unavailable, the system asks the customer to revise the order before payment is charged.",partial,partial,confirmed,"B has System-ask-Customer, but missing unavailable-products condition, revise-order object, and before-payment precondition."
P3,P3-C06,"Receipt timing changes: A sends an order receipt immediately/by email after submission, while B sends the final order receipt only after payment is completed.",partial,missed,confirmed,B has System-send-Order Receipt but missing payment-completed precondition; A has Email node.
P3,P3-C07,"A's order record fields, including purchased products, payment status, and shipping address, are no longer represented in B's pending-order workflow.",detected,partial,confirmed,A has Order Record include Product/Payment Status/Shipping Address; B does not.
P3,P3-C08,"A and B retain the common online order inputs: selected products, shipping address, and saved payment method.",detected,partial,confirmed,Common input include edges appear in both triple graphs.
P4,P4-C01,The actor changes from each individual student submitting an assignment to a student team submitting one assignment.,detected,partial,confirmed,
P4,P4-C02,The submitted file changes from one individual file to one shared file for the team submission.,partial,partial,confirmed,
P4,P4-C03,"After submission, the system stores the file as the team submission rather than as the individual student's assignment submission.",partial,partial,confirmed,
P4,P4-C04,B adds linking of the submission record to every team member.,partial,partial,confirmed,
P4,P4-C05,B changes grade/feedback visibility from individual grade and feedback to team grade and feedback shown to each team member.,partial,partial,confirmed,
P4,P4-C06,B adds an exception: an instructor may assign an individual override grade to a specific member.,missed,partial,confirmed,
P4,P4-C07,"B changes late submission status so it is marked for the team submission record, not separately for each member.",partial,partial,confirmed,
P4,P4-C08,"A/B retain common optional comment and upload-file inputs, but B scopes them to a team/shared submission.",partial,partial,confirmed,
P5,P5-C01,B adds an optional projector request to the study-room reservation workflow.,detected,partial,confirmed,Student requests Projector is explicit in triple graph; ontology has projector-related property but conditions are not fully explicit.
P5,P5-C02,"When a projector is requested, B requires checking both room availability and projector availability before creating the reservation.",partial,partial,confirmed,"Both availability checks appear, but the if-projector-requested condition and before-create precondition are not fully structured."
P5,P5-C03,B adds projector availability as a separate resource-availability constraint.,detected,partial,confirmed,Projector Availability appears in triple graph; ontology captures checksProjectorAvailability but still lacks explicit condition state.
P5,P5-C04,"B adds an exception path: if the room is available but the projector is unavailable, the system offers the student alternatives.",partial,partial,confirmed,"Offer/student/room structures appear, but projector-unavailable condition and alternatives are not fully explicit."
P5,P5-C05,B includes two alternative options: reserve the room without the projector or choose a different time slot.,partial,partial,confirmed,Reserve room and choose time slot appear; without-projector and alternative-choice structure are incomplete.
P5,P5-C06,Confirmation semantics change: the confirmation message should describe which resources were reserved.,partial,partial,confirmed,"Updated after second-evaluator review: graph includes describe/resources evidence, but the confirmation-message subject and reserved-resources object are incomplete."
P5,P5-C07,"A/B retain common reservation inputs: selected date/time slot, room size, number of participants, and contact email.",detected,partial,confirmed,Core fields are captured; ontology properties are partial/noisy.
